time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-14T20:16:30.549Z,12.9008,-88.4514,74.54,5,mb,,59,1.41,1.09,us,us70007qf8,2020-02-15T16:30:18.316Z,"43km SSE of Puerto El Triunfo, El Salvador",earthquake,6.3,5.6,0.025,508,reviewed,us,us
2020-02-14T16:02:16.237Z,35.6327,26.9825,16.72,4.8,mb,,113,0.168,1.13,us,us70007q3r,2020-02-14T16:43:22.481Z,"25km NW of Karpathos, Greece",earthquake,7.2,4.5,0.079,50,reviewed,us,us
2020-02-14T15:10:50.822Z,-12.6447,-77.9111,34.63,4.8,mb,,167,1.232,0.75,us,us70007q2d,2020-02-16T14:08:25.583Z,"104km SW of Callao, Peru",earthquake,5.4,8.1,0.116,23,reviewed,us,us
2020-02-14T13:50:44.394Z,-16.6931,-73.1062,60.01,4.8,mb,,142,3.12,1.07,us,us70007q0f,2020-02-14T14:07:54.040Z,"42km W of Camana, Peru",earthquake,8.7,7.1,0.045,156,reviewed,us,us
2020-02-14T11:17:05.913Z,51.5247,-130.9331,10,4.6,mwr,,159,0.786,1.3,us,us70007pya,2020-02-15T07:45:24.210Z,"206km WSW of Bella Bella, Canada",earthquake,6.6,2,0.068,21,reviewed,us,us
2020-02-14T09:55:28.611Z,-58.9415,-25.5603,35,5.1,mb,,82,15.7,0.64,us,us70007pxg,2020-02-14T10:18:26.040Z,"55km E of Bristol Island, South Sandwich Islands",earthquake,11.1,2,0.063,82,reviewed,us,us
2020-02-14T06:22:26.329Z,30.0509,142.4753,10,4.7,mb,,143,2.955,0.97,us,us70007pvq,2020-02-14T07:07:25.040Z,"Izu Islands, Japan region",earthquake,8.1,1.7,0.087,40,reviewed,us,us
2020-02-14T05:59:00.067Z,-56.6312,-142.2837,10,5.5,mww,,55,25.187,0.77,us,us70007q3m,2020-02-15T06:01:11.628Z,"Pacific-Antarctic Ridge",earthquake,12.6,1.8,0.059,28,reviewed,us,us
2020-02-14T01:47:58.442Z,-4.4346,102.8663,65.29,4.7,mb,,168,0.115,0.85,us,us70007pt0,2020-02-14T02:07:59.040Z,"64km SW of Pagaralam, Indonesia",earthquake,13.8,5.1,0.108,26,reviewed,us,us
2020-02-14T01:13:39.716Z,28.4106,142.7999,10,4.7,mb,,153,1.418,0.46,us,us70007pst,2020-02-14T01:33:18.040Z,"157km NNE of Chichi-shima, Japan",earthquake,7,1.9,0.129,18,reviewed,us,us
